Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/UFFU/,SDN:P06::UFFU,Fluorescein Fluorescence Units,FFU,Dimensionless scale derived in the laboratory using fluorescein as a proxy for environmental pigments.,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/UUPH/,SDN:P06::UUPH,pH units,pH units,Unavailable,1,false,1994-09-16 00:00:00.0
http://vocab.nerc.ac.uk/collection/P06/current/BYTE/,SDN:P06::BYTE,Bytes,Bytes,Unavailable,1,false,2005-09-01 12:39:50.0
http://vocab.nerc.ac.uk/collection/P06/current/PSUX/,SDN:P06::PSUX,Practical salinity units,PSU,One PSU equals one gram (10^-3 of the SI unit of mass) of salt (Na+Cl-) per kilogram (SI standard unit of mass) of seawater.,1,false,2024-09-12 17:27:42.0
http://vocab.nerc.ac.uk/collection/P06/current/NTML/,SDN:P06::NTML,Nautical miles,Nm,"A unit of length used to measure distance at sea, equivalent to 1852 standard SI units of length (metres).",3,false,2021-06-08 14:10:54.0
http://vocab.nerc.ac.uk/collection/P06/current/UXNM/,SDN:P06::UXNM,Nanometres,nm,Unit of length which is one billionth (10^-9) of a metre.,2,false,2019-05-20 14:07:44.0
http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,SDN:P06::UXMM,Millimetres,mm,Unit of length which is one thousandth of a metre.,2,false,2019-05-20 14:05:46.0
http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,SDN:P06::ULCM,Centimetres,cm,Unit of length which is one hundredth of a metre.,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,SDN:P06::UMIC,Micrometres (microns),um,Unavailable,1,false,1996-10-11 00:00:00.0
http://vocab.nerc.ac.uk/collection/P06/current/ULDM/,SDN:P06::ULDM,Decimetres,dm,Unit of length which is one tenth of a metre.,1,false,2019-05-20 14:02:04.0
http://vocab.nerc.ac.uk/collection/P06/current/PGKG/,SDN:P06::PGKG,Picograms per kilogram,pg/kg,One part per 10^15 by weight of the measurand in the matrix.,4,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/GPRG/,SDN:P06::GPRG,Grams per gram,g/g,One part by weight of the measurand in the matrix.,1,false,2015-06-01 08:54:11.0
http://vocab.nerc.ac.uk/collection/P06/current/FGKG/,SDN:P06::FGKG,Femtograms per kilogram,fg/kg,One part per 10^18 by weight of the measurand in the matrix.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/MGPG/,SDN:P06::MGPG,Milligrams per gram,mg/g,One part per 10^3 (thousand) by weight of the measurand in the matrix.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/NGPG/,SDN:P06::NGPG,Nanograms per gram,ng/g,One part per 10^9 (billion) by weight of the measurand in the matrix.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/NGKG/,SDN:P06::NGKG,Nanograms per kilogram,ng/kg,One part per 10^12 (trillion) by weight of the measurand in the matrix.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/UMKG/,SDN:P06::UMKG,Milligrams per kilogram,mg/kg,10^-6 of the SI unit of mass (kilogram) per the SI unit of mass (kilogram).,5,false,2024-08-22 09:53:07.0
http://vocab.nerc.ac.uk/collection/P06/current/UGGR/,SDN:P06::UGGR,Micrograms per gram,ug/g,One part per 10^6 (million) by weight of the measurand in the matrix.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/PGPG/,SDN:P06::PGPG,Picograms per gram,pg/g,One part per 10^12 (trillion) by weight of the measurand in the matrix.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/MILM/,SDN:P06::MILM,Square millimetres,mm^2,A unit of area defined as a square of one millimetre long on each side. It has a dimension of L2 where L is length. It can be converted to the corresponding standard SI unit area by multiplying its value by a factor of 10^-6.,1,false,2020-12-15 10:56:29.0
http://vocab.nerc.ac.uk/collection/P06/current/SQKM/,SDN:P06::SQKM,Square kilometres,km^2,Unavailable,1,false,2010-07-20 08:23:28.0
http://vocab.nerc.ac.uk/collection/P06/current/SQCM/,SDN:P06::SQCM,Square centimetres,cm^2,A unit of area defined as a square of one centimetre long on each side.,1,false,2017-10-22 14:18:44.0
http://vocab.nerc.ac.uk/collection/P06/current/HCTR/,SDN:P06::HCTR,Hectares,ha,"A non-SI unit of area equal to a square with 100-metre sides or 10,000 square metres.",2,false,2020-05-05 16:49:18.0
http://vocab.nerc.ac.uk/collection/P06/current/UCMS/,SDN:P06::UCMS,Square centimetres per second,cm^2/s,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UCST/,SDN:P06::UCST,Centistokes,cSt,The engineering unit commonly used for kinematic vicosity equivalent to 10^-6 m^2/s.,3,false,2022-11-28 12:36:41.0
http://vocab.nerc.ac.uk/collection/P06/current/VVML/,SDN:P06::VVML,Millilitres,ml,Unit of volume which is equal to one 10^-3 litre or 10^-6 cubic metre.,1,false,2015-01-08 13:34:44.0
http://vocab.nerc.ac.uk/collection/P06/current/VVCC/,SDN:P06::VVCC,Cubic centimetres,cm^3,Unit of volume which is equal to 1 millilitre or 10^-6 cubic metre.,1,false,2015-01-08 13:34:44.0
http://vocab.nerc.ac.uk/collection/P06/current/ULIT/,SDN:P06::ULIT,Litres,l,Unavailable,1,false,1996-11-13 00:00:00.0
http://vocab.nerc.ac.uk/collection/P06/current/UMCU/,SDN:P06::UMCU,Cubic micrometres (microns),um^3,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/NHTR/,SDN:P06::NHTR,Number per hectare,#/ha,"Count of an entity or phenomenon's occurrence in 10,000 times the SI unit area (square metre).",1,false,2020-05-05 16:54:11.0
http://vocab.nerc.ac.uk/collection/P06/current/NPKM/,SDN:P06::NPKM,Number per square kilometre,#/km^2,Unavailable,1,false,2010-07-20 08:21:54.0
http://vocab.nerc.ac.uk/collection/P06/current/UVCC/,SDN:P06::UVCC,Millimetres per second,mm/s,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UMMM/,SDN:P06::UMMM,Millimetres per minute,mm/min,Unavailable,1,false,2001-10-25 00:00:00.0
